"installid"	"sessionid"	"time"	"lat"	"lng"	"accuracy"
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:35:11"	40.7234586	-73.9967957	37.519
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:34:11"	40.7234586	-73.9967957	37.519
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:33:10"	40.7234182	-73.997198	43.355
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:31:45"	40.7234066	-73.9966701	69
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:30:44"	40.7232554	-73.9969294	41.853
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:28:58"	40.722623	-73.9970978	20.912
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:27:57"	40.7221405	-73.9972355	19.952
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:26:56"	40.72135	-73.9979241	22.936
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579f6f9b498e1fb7c47afc92"	"2016-07-29 19:25:55"	40.721035	-73.9981537	19.959
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:18:08"	40.7241607	-73.9967764	20.963
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:20:13"	40.7257226	-73.9955368	29.289
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:19:12"	40.724887	-73.9961796	20.863
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:22:16"	40.72648	-73.9943432	20.701
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:21:15"	40.7262502	-73.995445	26.525
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:24:18"	40.7279846	-73.9935168	22.555
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:23:17"	40.7272384	-73.9937004	21.622
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:26:19"	40.7279455	-73.9932413	19.779
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:25:18"	40.7279455	-73.9932413	20.82
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:29:22"	40.7279455	-73.9932413	19.962
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:28:21"	40.7279455	-73.9932413	19.737
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:27:20"	40.7279455	-73.9932413	19.783
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:33:27"	40.7279455	-73.9932413	19.795
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:32:26"	40.7279455	-73.9932413	20.821
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:31:25"	40.7279455	-73.9932413	19.987
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:36:30"	40.7292434	-73.9920476	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:35:29"	40.7286136	-73.9925067	20.874
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:40:35"	40.7316234	-73.9914049	20.742
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:39:34"	40.7309875	-73.9920935	20.107
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:38:33"	40.7304018	-73.9920476	21.923
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:37:31"	40.7299773	-73.9920129	72.77
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:44:14"	40.733087	-73.9907477	42.138
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:42:37"	40.7331287	-73.9911294	20.327
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:41:36"	40.7322732	-73.9913589	50
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:50:23"	40.7332594	-73.9909723	39.748
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:49:19"	40.7333113	-73.9910499	32.724
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:48:18"	40.7333127	-73.9910013	35.791
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:47:17"	40.7330564	-73.9907447	20
"e04a23af-2819-4a4e-96c0-92c6776d2bf7"	"579a5641498e46c0ce22c709"	"2016-07-28 17:46:16"	40.7330492	-73.990791	22
